Vehicle_ID,Engine_Temperature,Vibration,Battery_Voltage,Engine_Load,RPM,Oil_Quality_Index,Mileage_km,Vehicle_Age_Years,Failure_Status
V1000,88.97,0.723,13.3,23.4,2439.0,98.4,5587.0,13.35,0
V1001,96.14,3.648,10.71,36.4,1798.0,49.5,215671.0,5.87,1
V1002,90.18,1.686,13.14,12.9,2465.0,75.6,145051.0,2.03,0
V1003,97.18,3.597,12.62,76.9,2350.0,47.5,52891.0,2.29,0
V1004,83.13,4.337,14.41,33.3,1717.0,48.0,62924.0,0.63,0
V1005,83.13,0.963,14.1,21.2,2140.0,74.2,6813.0,1.45,0
V1006,107.33,5.165,10.08,72.9,1418.0,67.1,40700.0,2.36,1
V1007,91.14,4.219,12.31,85.9,2268.0,100.0,7548.0,1.21,0
V1008,81.24,7.629,13.28,11.8,2032.0,71.2,21395.0,9.9,0
V1009,89.34,2.316,12.36,31.0,3248.0,92.0,19064.0,0.1,0
V1010,81.29,2.412,13.11,95.1,2494.0,75.8,42832.0,3.54,0
V1011,89.35,7.239,11.2,44.7,1723.0,57.0,3737.0,5.91,1
V1012,86.94,1.547,12.98,94.5,1717.0,48.6,4915.0,5.27,0
V1013,69.69,2.186,13.61,34.7,2519.0,54.5,42365.0,4.13,0
V1014,71.2,0.239,14.08,29.6,2640.0,79.9,45492.0,2.11,0
V1015,80.5,1.221,13.24,29.3,3129.0,99.0,18690.0,10.03,0
V1016,76.9,2.884,12.27,17.7,2778.0,61.3,7148.0,1.6,0
V1017,87.51,0.913,13.09,90.7,2439.0,87.6,97752.0,5.55,0
V1018,94.98,7.038,10.91,98.2,2912.0,72.3,2448.0,10.45,1
V1019,73.7,0.356,14.2,95.9,2237.0,59.0,56864.0,0.55,0
V1020,96.73,3.559,13.42,86.7,2215.0,80.3,6789.0,11.76,0
V1021,83.19,3.552,13.24,86.2,1594.0,98.9,45647.0,5.99,0
V1022,99.72,8.701,12.14,69.5,2954.0,73.9,49033.0,3.83,1
V1023,73.6,1.498,12.98,84.4,2266.0,87.4,73393.0,1.87,0
V1024,80.64,2.003,13.75,28.8,2151.0,79.6,22616.0,9.38,0
V1025,99.96,8.485,10.65,44.9,1803.0,79.7,992.0,0.18,1
V1026,75.79,4.982,13.58,67.7,2813.0,63.0,74982.0,2.26,0
V1027,104.45,5.987,11.83,88.7,2693.0,82.4,26420.0,5.65,1
V1028,80.19,2.577,12.51,69.4,1749.0,53.1,84506.0,6.67,0
V1029,82.67,5.341,13.2,85.5,2455.0,80.4,67322.0,0.9,0
V1030,94.37,12.073,10.74,52.7,2598.0,95.6,31039.0,0.2,1
V1031,99.82,3.077,12.36,74.6,1577.0,100.0,300000.0,6.5,0
V1032,92.85,5.393,11.12,98.2,2521.0,59.4,27902.0,2.19,1
